lat,lon,type
26.6225483,-80.299609,tree
26.622924,-80.2955414,tree
26.6229115,-80.2962653,tree
26.621634,-80.2993568,tree
26.6516958,-80.2394861,tree
26.6516761,-80.2406036,tree
26.65184,-80.2381704,tree
26.6685381,-80.2554015,tree
26.6722771,-80.2512897,tree
26.6442631,-80.2584706,tree
26.6442631,-80.2586271,tree
26.6443592,-80.2596493,tree
26.6473711,-80.2588912,tree
26.6467023,-80.2559713,tree
26.6463482,-80.2566952,tree
26.6452729,-80.2559615,tree
26.6451199,-80.2557219,tree
26.6229587,-80.2672983,tree
26.6226985,-80.2721897,tree
26.639858,-80.2908124,tree
26.6374474,-80.2778913,tree
26.6374583,-80.2782023,tree
26.6394402,-80.2868469,tree
26.6395894,-80.2870507,tree
26.6395165,-80.2873127,tree
26.639605,-80.2872933,tree
26.6396275,-80.2867635,tree
26.6420127,-80.2860167,tree
26.6391658,-80.2862145,tree
26.6391658,-80.2863387,tree
26.6391311,-80.2860049,tree
26.6392283,-80.2860592,tree
26.639466,-80.2862863,tree
26.6476093,-80.2798666,tree
26.6540567,-80.2861666,tree
26.6538424,-80.291581,tree
26.6596515,-80.2918941,tree
26.6569248,-80.2671356,tree
26.6569675,-80.2676516,tree
26.653684,-80.2616468,tree
26.6609449,-80.257655,tree
26.6611766,-80.2575861,tree
